2651	1105
2131	2436
1235	1104
1353	2435
317	1103
481	2434
1916	1102
2127	2433
501	1101
892	2432
2650	1100
365	2431
2655	1109
215	2439
2656	1108
59	1121
2843	2452
1918	1120
2135	2451
1262	2450
485	1118
1677	2449
1506	1117
1944	2448
2657	1116
693	2447
1202	1115
929	2446
1314	1114
930	2445
728	1113
1354	2444
2653	1112
239	2443
2654	1111
1674	2442
2035	1119
1496	1132
2899	2463
2165	2462
3067	1131
387	1130
2164	2461
379	2460
1383	1129
112	2459
549	1128
2895	2458
1384	1127
2898	2457
1381	1126
1369	2456
1382	1125
1507	1124
150	2455
721	1123
2897	2454
749	1122
1948	2453
86	2474
281	1143
2909	2473
1754	1142
797	2472
1755	1141
385	2471
1756	1140
2900	2470
557	1139
980	1138
279	2469
2168	2468
2281	1137
2166	2467
3083	1136
2167	2466
2276	1135
434	1134
2901	2465
1275	2464
578	1133
455	1154
680	2485
985	1153
1278	2484
1272	1152
2171	2483
1698	2482
1757	1151
931	2481
1758	1150
932	2480
1040	1149
2903	2479
3089	1148
2902	2478
3084	1147
576	2477
3085	1146
1946	1145
280	2476
181	1144
1277	2475
2916	2496
3108	1165
186	2495
3103	1164
2174	2494
2291	1163
1950	2493
3107	1162
1949	2492
3095	1161
1009	2491
3097	1160
2172	2490
3096	1159
324	2489
3098	1158
1549	2488
3100	1157
214	2487
3101	1156
2173	2486
1219	1155
1052	1176
1185	1175
2296	1174
2297	1173
665	1172
1459	1171
1765	1170
1764	1169
2175	2499
1766	1168
2176	2498
625	1167
2917	2497
2293	1166
497	1187
2375	1186
1048	1185
879	1184
2368	1183
1800	1182
1466	1181
2358	1180
2364	1179
2360	1178
1570	1177
1807	1190
15	1198
2385	1197
1810	1196
2389	1195
2390	1194
1187	1193
519	1192
819	1191
487	1189
2383	1188
909	1199
437	300
438	301
234	302
179	303
439	304
440	305
441	306
442	307
443	308
444	309
436	310
1329	311
1082	312
2080	313
1002	314
77	315
1524	316
2736	317
2737	318
2829	319
1351	320
1091	321
556	322
1092	323
163	324
882	325
1093	326
2123	327
199	328
710	329
708	330
709	331
328	332
617	333
521	334
925	335
316	336
1941	337
774	338
1095	339
1096	340
1094	341
1943	342
359	343
106	344
467	345
893	346
2842	347
1006	348
741	349
463	350
1263	351
1678	352
2848	353
2849	354
2850	355
2136	356
1264	357
188	358
1680	359
54	10
5	11
433	12
220	13
787	14
45	15
570	16
788	17
330	18
162	19
1681	360
894	361
423	362
1683	363
2853	364
89	365
1476	366
2138	367
2855	368
2856	369
1492	20
1993	21
1021	22
100	23
461	24
1994	25
2565	26
183	27
256	28
370	29
1684	370
1508	371
2908	372
72	373
29	374
1370	375
2913	376
450	377
451	378
202	379
2734	30
164	31
41	32
14	33
92	34
122	35
1211	36
130	37
21	38
61	39
156	380
445	381
446	382
447	383
448	384
449	385
407	386
2915	387
731	388
1700	389
10	40
667	41
2078	42
1249	43
19	44
505	45
535	46
3	47
615	48
2079	49
1371	390
343	391
1100	392
983	393
864	394
127	395
1701	396
2918	397
285	398
2919	399
1199	50
28	51
494	52
50	53
1	54
237	55
430	56
235	57
249	58
376	59
125	60
419	61
90	62
755	63
141	64
605	65
1330	66
1331	67
574	68
108	69
1083	70
496	71
678	72
2552	73
149	74
195	75
4	76
1084	77
380	78
416	79
39	80
382	81
71	82
209	83
1332	84
650	85
22	86
425	87
792	88
793	89
794	90
25	91
795	92
400	93
454	94
1035	95
378	96
707	97
518	98
46	99
1706	2504
417	2503
